,status_group
36235,functional
36236,non functional
36237,functional
36238,functional
36239,functional
36241,functional
36246,functional
36250,non functional
36253,functional
36254,functional
36255,functional
36259,non functional
36260,functional needs repair
36262,functional
36263,functional
36264,non functional
36270,non functional
36271,functional
36272,functional
36277,non functional
36280,functional
36283,functional
36284,non functional
36285,functional
36286,functional
36287,non functional
36288,functional
36290,functional
36291,functional
36293,non functional
36294,functional
36295,functional
36296,non functional
36297,functional
36298,functional
36299,functional
36300,non functional
36303,non functional
36306,functional
36307,functional
36309,non functional
36310,functional
36311,functional
36313,functional
36320,functional
36324,non functional
36325,non functional
36326,non functional
36329,functional
36332,functional
36335,functional
36338,functional
36341,non functional
36342,functional needs repair
36343,functional
36344,functional
36345,non functional
36347,functional needs repair
36349,functional
36355,functional
36359,functional
36363,functional
36366,non functional
36368,functional
36369,functional
36370,functional
36372,functional
36373,functional
36374,functional
36375,non functional
36376,non functional
36377,functional
36378,functional
36379,non functional
36380,functional
36381,functional
36384,non functional
36387,non functional
36388,functional
36389,functional
36390,functional
36391,non functional
36394,non functional
36395,non functional
36397,functional
36398,functional
36400,functional needs repair
36403,functional
36404,functional
36407,functional
36410,non functional
36411,functional
36412,non functional
36413,functional
36414,functional
36416,functional
36417,functional
36418,functional
36419,functional
36423,non functional
36425,functional
36426,non functional
36427,functional
36436,functional
36437,non functional
36438,non functional
36439,functional
36441,non functional
36444,non functional
36446,functional
36449,functional
36451,functional
36452,functional
36454,functional
36456,functional
36458,non functional
36460,functional
36463,non functional
36465,functional needs repair
36466,functional
36467,functional
36468,functional needs repair
36472,functional
36474,functional
36476,functional
36477,functional
36479,functional
36483,functional
36488,functional
36489,functional
36490,functional
36492,functional
36494,functional needs repair
36495,functional
36498,functional
36499,non functional
36500,functional
36503,functional
36508,non functional
36509,functional
36510,non functional
36514,non functional
36516,functional
36521,functional
36522,functional
36525,functional
36526,functional
36532,functional
36533,functional
36534,non functional
36537,functional needs repair
36539,functional
36541,non functional
36543,functional needs repair
36545,non functional
36547,non functional
36551,functional
36552,functional
36553,functional
36554,non functional
36555,functional
36556,functional
36558,non functional
36559,non functional
36561,non functional
36563,functional
36564,functional
36568,functional
36569,non functional
36570,functional
36573,functional
36578,functional needs repair
36579,functional
36580,non functional
36583,functional
36584,non functional
36585,functional
36586,functional
36591,non functional
36592,functional
36593,non functional
36594,functional
36595,non functional
36598,functional
36603,functional
36604,functional
36605,functional
36606,non functional
36609,functional
36618,functional
36619,functional
36620,functional
36628,functional
36629,non functional
36631,non functional
36632,functional needs repair
36633,functional needs repair
36634,non functional
36635,non functional
36641,non functional
36642,functional
36647,functional
36652,functional
36654,non functional
36655,non functional
36662,non functional
36669,non functional
36670,functional
36673,functional
36674,functional
36676,functional
36678,non functional
36679,functional needs repair
36680,non functional
36681,functional
36683,non functional
36688,functional
36689,functional
36690,functional
36692,functional
36696,functional
36697,non functional
36701,functional
36704,non functional
36705,functional
36706,functional
